Title,Price,Rating,Specs
"LG 2026 Model 1.42 Ton 5 Star Split Smart Inverter Faster Cooling and Energy Saving, AI Convertible 6-...","₹47,490",,"Annual Power Usage: 1180 WRoom Size: 130 to 180 sq. ft.Manufacturer Warranty: 1 Year Comprehensive on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive period only | T&C Apply) | To claim, present your original Proof of Purchase (invoice), model and serial number of the Product while requesting service. Visit https://www.lg.com/in/support for details Call on our customer care number 8069379999, WhatsApp : 9711709999 | E-mail: serviceindia@lge.com"
Daikin 2026 Model 0.9 Ton 2 Star Split Fixed Speed AC,"₹26,990",4.2,"Annual Power Usage: 582.13 kWhRoom Size: 80 to 130 sq. ft.1 Year Comprehensive Warranty, 5 Years Warranty On PCB"
MOTOROLA 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,"₹38,990",4.2,"Annual Power Usage: 1098.15 kWhRoom Size: 180 to 230 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Voltas 2026 Model 1 Ton 3 Star Split Inverter AC,"₹30,991",4.1,"Annual Power Usage: 599.28 kWhRoom Size: 80 to 130 sq. ft.Voltas  5 Year warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid only from 1st January 2026 to 31st December 2027)."
Voltas 2026 Model 2 Ton 3 Star Split Inverter AC,"₹45,990",4.1,"Annual Power Usage: 1079.03 kWhRoom Size: 180 to 230 sq. ft.Voltas  5 Year warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid only from 1st January 2026 to 31st December 2027)."
MOTOROLA 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehen...,"₹36,990",4.2,"Annual Power Usage: 656.35 kWhRoom Size: 130 to 180 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
MOTOROLA 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,"₹28,990",4.2,"Annual Power Usage: 611.13 kWhRoom Size: 80 to 130 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Godrej 2026 Model 2 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹36,490",3.9,"Annual Power Usage: 1076.57 kWhRoom Size: 180 to 230 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
"TCL 2026 Model 1 Ton 3 Star Split Inverter 7 Step Convertible with Powerful and Fast cooling, 4 Ways S...","₹24,990",3.8,"Annual Power Usage: 596.47 kWhRoom Size: 80 to 130 sq. ft.1 year warranty on product,5 Years on PCB and 10 Years on the Compressor"
Godrej 2026 Model 1.5 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹36,990",4,"Annual Power Usage: 657.81 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Godrej 2026 Model 1 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹27,549",4,"Annual Power Usage: 607.6 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Haier 2026 Model 1 Ton 3 Star Split Twin Inverter AC,"₹28,490",4,Annual Power Usage: 560.41 kWhRoom Size: 80 to 130 sq. ft.5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,"₹21,790",4,"Annual Power Usage: 1034 UnitsRoom Size: 80 to 130 sq. ft.5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor"
Voltas 2026 Model 1 Ton 5 Star Split Inverter AC,"₹34,990",4,"Annual Power Usage: 470.35 kWhRoom Size: 80 to 130 sq. ft.Voltas  5 Year warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid only from 1st January 2026 to 31st December 2027)."
Lloyd 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹35,991",4,"Annual Power Usage: 831.01 kWhRoom Size: 130 to 180 sq. ft.1 Year Comprehensive Warranty on AC, 5 Year Warranty on Component and 10 Years Warranty on Compressor"
Godrej 2026 Model 2 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹36,490",3.9,"Annual Power Usage: 1076.57 kWhRoom Size: 180 to 230 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Godrej 2026 Model 1.5 Ton 4 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹33,990",4,"Annual Power Usage: 728.31 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Haier 2026 Model 1.5 Ton 3 Star Split Twin Inverter AC,"₹33,490",4,Annual Power Usage: 851.12 kWhRoom Size: 130 to 180 sq. ft.5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).
Haier 2026 Model 1 Ton 5 Star Split HEXA Inverter with Wi-fi AC,"₹33,990",3.9,Annual Power Usage: 465.89 kWhRoom Size: 80 to 130 sq. ft.5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).
Godrej 2026 Model 1 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹33,990",4,"Annual Power Usage: 468.65 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
"LG 2026 Model 1.42 Ton 5 Star Split Smart Inverter Faster Cooling and Energy Saving, AI Convertible 6-...","₹47,490",,"Annual Power Usage: 1180 WRoom Size: 130 to 180 sq. ft.Manufacturer Warranty: 1 Year Comprehensive on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive period only | T&C Apply) | To claim, present your original Proof of Purchase (invoice), model and serial number of the Product while requesting service. Visit https://www.lg.com/in/support for details Call on our customer care number 8069379999, WhatsApp : 9711709999 | E-mail: serviceindia@lge.com"
"LG 2026 Model 1.5 tons 3 Star Split Smart Inverter Faster Cooling and Energy Saving, AI Convertible 6-...","₹35,990",4,"Annual Power Usage: 769.55 kWhRoom Size: 130 to 180 sq. ft.1 Year Comprehensive warranty on Product, 5 Year warranty on PCB & Motor and 10 Year warranty on Compressor"
CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter with Wi-fi Convertible 6-in-1 with Geo-Fencing & V...,"₹33,490",4.2,"Annual Power Usage: 854.39 kWhRoom Size: 130 to 180 sq. ft.1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor"
LG 2025 Model 1 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 with Faster Cooling and Energy...,"₹30,590",4.2,"Annual Power Usage: 515.84 UnitsRoom Size: 80 to 130 sq. ft.1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)"
Blue Star 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹36,490",4.1,"Annual Power Usage: 918.45 kWhRoom Size: 130 to 180 sq. ft.1-Year Product Warranty, 10-Year Compressor Warranty and 5-Year PCB Warranty."
MOTOROLA 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehen...,"₹31,990",4.2,"Annual Power Usage: 858.22 kWhRoom Size: 130 to 180 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Godrej 2026 Model 1.5 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹36,990",4,"Annual Power Usage: 657.81 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
"Godrej 2025 Model 1.5 Ton 4 Star Split Inverter 5-In-1-Convertible Cooling, 4 Way Air Swing And Heavy ...","₹27,390",4,"Annual Power Usage: 835.07 UnitsRoom Size: 130 to 180 sq. ft.5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor"
realme TechLife 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,"₹27,990",4.2,Room Size: 130 to 180 sq. ft.1 Year warranty on Product and 10 Years Warranty on Compressor
MOTOROLA 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,"₹38,990",4.2,"Annual Power Usage: 1098.15 kWhRoom Size: 180 to 230 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
MOTOROLA 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,"₹28,990",4.2,"Annual Power Usage: 611.13 kWhRoom Size: 80 to 130 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Godrej 2025 Model 1.5 Ton 3 Star Split Inverter 5-In-1 Convertible Cooling with Heavy Duty Cooling and...,"₹28,990",4,"Annual Power Usage: 983.99 kWhRoom Size: 130 to 180 sq. ft.10 years warranty on compressor, 5 year warranty on whole product (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase)"
Haier 2026 Model 1.5 Ton 4 Star Split HEXA Inverter with Wi-fi AC,"₹36,990",4.1,Annual Power Usage: 735.94 kWhRoom Size: 130 to 180 sq. ft.5 years on the product and 12 years on the compressor (1-year warranty card in the box + 4-year promotional warranty auto activated post-installation).
Hisense 2026 Model 1.5 Ton 5 Star Split Inverter AC,"₹33,990",4.1,"Annual Power Usage: 651.34 kWhRoom Size: 130 to 180 sq. ft.1 Year Comprehensive warranty on Product, 5 Year on PCB & 10 Year on Compressor"
"Samsung Bespoke AI 2026 Model 1.5 ton 4 Star Split Inverter with Wi-fi Energy Saving, Voice Control, P...","₹38,990",4.1,Annual Power Usage: 713.57 kWhRoom Size: 130 to 180 sq. ft.5 year comprehensive warranty on product and 10 years warranty on compressor
MOTOROLA 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehen...,"₹36,990",4.2,"Annual Power Usage: 656.35 kWhRoom Size: 130 to 180 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Godrej 2026 Model 1 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹27,549",4,"Annual Power Usage: 607.6 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Voltas 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹30,590",4.1,"Annual Power Usage: 975.26 kWhRoom Size: 130 to 180 sq. ft.5 years warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid till 31st May 2026). It is applicable only for residential usage and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor"
Blue Star 2026 Model 1.5 Ton 5 Star Split Inverter AC,"₹46,490",4.1,"Annual Power Usage: 701.68 kWhRoom Size: 130 to 180 sq. ft.1-Year Product Warranty, 10-Year Compressor Warranty and 5-Year PCB Warranty."
Godrej 2026 Model 2 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹36,490",3.9,"Annual Power Usage: 1076.57 kWhRoom Size: 180 to 230 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Godrej 2026 Model 1.5 Ton 4 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹33,990",4,"Annual Power Usage: 728.31 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Blue Star 2026 Model 1 Ton 3 Star Split Inverter AC,"₹32,490",4.1,"Annual Power Usage: 621.1 kWhRoom Size: 80 to 130 sq. ft.1-Year Product Warranty, 10-Year Compressor Warranty and 5-Year PCB Warranty."
Hitachi 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹28,890",4,Room Size: 130 to 180 sq. ft.
"Samsung Bespoke AI 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi Energy Saving, Voice Control, Pow...","₹49,990",4,"Annual Power Usage: 1084.6 kWhRoom Size: 180 to 230 sq. ft.Manufacturer warranty: 5 year comprehensive, 10 years on compressor (T&C Apply)"
Voltas 2025 Model 1.5 Ton 3 Star Hot and Cold Split Inverter 4-IN-1 Adjustable Mode | Energy Efficient...,"₹33,690",4.1,"Annual Power Usage: 947.36 kWhRoom Size: 130 to 180 sq. ft.5 years warranty from the date of installation, (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr (Offer valid till 31st May 2026). It is applicable only for residential usage and does not apply to commercial or National Accounts customers, 5 Years warranty on PCB, 10 Years on Inverter Compressor"
Godrej 2026 Model 1 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹33,990",4,"Annual Power Usage: 468.65 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
"LG 2026 Model 1.42 Ton 5 Star Split Smart Inverter Faster Cooling and Energy Saving, AI Convertible 6-...","₹47,490",,"Annual Power Usage: 1180 WRoom Size: 130 to 180 sq. ft.Manufacturer Warranty: 1 Year Comprehensive on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive period only | T&C Apply) | To claim, present your original Proof of Purchase (invoice), model and serial number of the Product while requesting service. Visit https://www.lg.com/in/support for details Call on our customer care number 8069379999, WhatsApp : 9711709999 | E-mail: serviceindia@lge.com"
"IFB 2026 Model 1.5 Ton 3 Star Split Inverter with Hybrid Mode, 8-in-1 Flexi Mode, Heavy Duty Compresso...","₹35,990",4.2,"Annual Power Usage: 854.7 kWhRoom Size: 130 to 180 sq. ft.1 Year Warranty on Product, 5 Years Warranty on PCB, 10 Years Warranty on Inverter Compressor"
Hisense 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,"₹31,990",3.9,"Annual Power Usage: 897.18 kWhRoom Size: 130 to 180 sq. ft.1 Year Comprehensive warranty on product, 5 year on PCB, 10 Year on Compressor"
MOTOROLA 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehen...,"₹31,990",4.2,"Annual Power Usage: 858.22 kWhRoom Size: 130 to 180 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Godrej 2026 Model 1.5 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹36,990",4,"Annual Power Usage: 657.81 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Blue Star 2026 Model 1 Ton 5 Star Split Inverter with Wi-fi AC,"₹37,990",4.1,"Annual Power Usage: 495.16 kWhRoom Size: 80 to 130 sq. ft.1-Year Product Warranty, 10-Year Compressor Warranty and 5-Year PCB Warranty."
Lloyd 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹38,490",4.1,"Annual Power Usage: 715.07 WRoom Size: 130 to 180 sq. ft.1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor."
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹29,890",4.1,Annual Power Usage: 858.22 UnitsRoom Size: 130 to 180 sq. ft.1 Year Comprehensive Warranty
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹30,317",4.1,Annual Power Usage: 893.62 kWhRoom Size: 130 to 180 sq. ft.Compressor Warranty: 1+9 Years PCB Warranty: 1 +4 Years
MOTOROLA 2026 Model 2 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,"₹38,990",4.2,"Annual Power Usage: 1098.15 kWhRoom Size: 180 to 230 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
MOTOROLA 2026 Model 1 Ton 3 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehensi...,"₹28,990",4.2,"Annual Power Usage: 611.13 kWhRoom Size: 80 to 130 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹30,900",4.1,"Annual Power Usage: 858.22 kWhRoom Size: 130 to 180 sq. ft.1 year warranty on product, 5 years  warranty on compressor"
Daikin 2026 Model 1 Ton 3 Star Split Inverter AC,"₹33,490",4.1,Annual Power Usage: 619.31 kWhRoom Size: 80 to 130 sq. ft.5 YearsWarranty on Product and 5 Years Warranty on PCB and 10 Years Warranty on Compressor 1st July 2026 to 31st July 2026.
MOTOROLA 2026 Model 1.5 Ton 5 Star Split Inverter with Wi-fi | Free Installation with 3-Year Comprehen...,"₹36,990",4.2,"Annual Power Usage: 656.35 kWhRoom Size: 130 to 180 sq. ft.3 Year on Product and 10 Years Warranty on Compressor

You additionally get the following benefits free of cost for the first 3 years:
-Gas recharge (maximum 2 times) and service basis requirement.

Please reach out to the brand for these benefits."
Godrej 2026 Model 1 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹27,549",4,"Annual Power Usage: 607.6 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
"IFB 2026 Model 1.5 Tons 5 Star Split Inverter with Hybrid Mode, 8-in-1 Flexi Mode, Heavy Duty Compress...","₹41,990",4.2,"Annual Power Usage: 644.41 kWhRoom Size: 130 to 180 sq. ft.1 Year Warranty on Product, 5 Year Warranty on PCB, 10 Year Warranty on Inverter Compressor"
Panasonic 2025 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,"₹32,590",4.1,"Annual Power Usage: 977.16 UnitsRoom Size: 130 to 180 sq. ft.1 Year Comprehensive on Product,
5 Years on PCB, 
10 Years on Compressor"
"ONIDA 2026 Model 1.5 Ton 3 Star Split Inverter 9-in-1 Convertible, Stabilizer Free Operation, Deep fro...","₹30,990",4.1,"Annual Power Usage: 841.86 kWhRoom Size: 130 to 180 sq. ft.1 Year Comprehensive warranty on Product, 5 Year warranty on PCB and 10 Year warranty on Compressor"
CARRIER 2026 Model 1.5 Ton 3 Star Window Fixed Speed AC,"₹29,969",4.3,"Annual Power Usage: 1131.74 kWhRoom Size: 130 to 180 sq. ft.1 Year Warranty on Product, 10 Year Warranty on Compressor"
Godrej 2026 Model 2 Ton 3 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹36,490",3.9,"Annual Power Usage: 1076.57 kWhRoom Size: 180 to 230 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Godrej 2026 Model 1.5 Ton 4 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooli...,"₹33,990",4,"Annual Power Usage: 728.31 kWhRoom Size: 130 to 180 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
Hitachi 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹36,990",4,"Annual Power Usage: 774.58 kWhRoom Size: 130 to 180 sq. ft.1 Year on the product, 5 Years on Component (including PCB) and 10 Years on the Compressor"
Daikin 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹37,490",4.2,Annual Power Usage: 880.1 kWhRoom Size: 130 to 180 sq. ft.5 YearsWarranty on Product and 5 Years Warranty on PCB and 10 Years Warranty on Compressor 1st July 2026 to 31st July 2026.
"LG 2026 Model 1.42 Ton 5 Star Split Smart Inverter Faster Cooling and Energy Saving, AI Convertible 6-...","₹47,490",,"Annual Power Usage: 1180 WRoom Size: 130 to 180 sq. ft.Manufacturer Warranty: 1 Year Comprehensive on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive period only | T&C Apply) | To claim, present your original Proof of Purchase (invoice), model and serial number of the Product while requesting service. Visit https://www.lg.com/in/support for details Call on our customer care number 8069379999, WhatsApp : 9711709999 | E-mail: serviceindia@lge.com"
Godrej 2026 Model 1 Ton 5 Star Split Inverter with 5-in-1 convertible | AI Powered| Heavy Duty Cooling...,"₹33,990",4,"Annual Power Usage: 468.65 kWhRoom Size: 80 to 130 sq. ft.5 years warranty on Product, 5 Years warranty on PCB, 10 year warranty on Compressor (Applicable on purchase after Sept 2024 and warranty can be availed after registering on brand website within 30 days of purchase or via company ASP installation)"
"Daikin 2026 Model 1.8 Ton 3 Star Hot and Cold Split Inverter PM1.0 Filter, Hot & Cold, Inverter, ISEER...","₹52,490",4.1,Annual Power Usage: 1055.07 kWhRoom Size: 180 to 230 sq. ft.5 YearsWarranty on Product and 5 Years Warranty on PCB and 10 Years Warranty on Compressor 1st July 2026 to 31st July 2026.
CARRIER 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹33,990",4.2,"Annual Power Usage: 854.39 kWhRoom Size: 130 to 180 sq. ft.Standard Warranty = (1 Year Standard + 10 Years Compressor), Extended Warranty (Optional) = 4 Years post 1 year Standard Warranty."
